group,variable,value
Australia,Brazil,10843457
Australia,Chile,11512013
Australia,Colombia,10565816
Australia,Cyprus,18728824
Australia,Czech Republic,6918
Australia,Hungary,984655
Australia,India,982075862
Australia,Korea,7599604
Australia,Poland,3046
Australia,Saudi Arabia,7575
Australia,Slovenia,96659
Australia,South Africa,240893012
Australia,Taiwan,552779
Australia,Thailand,1162746092
Austria,Brazil,52226511
Austria,Chile,6426788
Austria,Colombia,20231447
Austria,Cyprus,51130825
Austria,Czech Republic,36364341
Austria,Estonia,637841
Austria,Hungary,63871235
Austria,India,162421492
Austria,Korea,111526265
Austria,Kuwait,124190
Austria,Latvia,899748
Austria,Lithuania,1520246
Austria,Poland,33184327
Austria,Romania,31695093
Austria,Saudi Arabia,2145296
Austria,Slovak Republic,44700893
Austria,Slovenia,46991641
Austria,South Africa,29251443
Austria,Taiwan,13165781
Austria,Thailand,73958508
Austria,United Arab Emirates,1595041
Belgium,Brazil,212928735
Belgium,Chile,59867040
Belgium,Colombia,102867692
Belgium,Cyprus,149740
Belgium,Czech Republic,2043144
Belgium,Estonia,479423
Belgium,Hungary,1433578
Belgium,India,561481858
Belgium,Korea,52608
Belgium,Latvia,280576
Belgium,Lithuania,646128
Belgium,Poland,800330632
Belgium,Romania,4513915
Belgium,Saudi Arabia,9103
Belgium,Slovak Republic,1635383
Belgium,Slovenia,1314983
Belgium,South Africa,340304159
Belgium,Taiwan,810972
Belgium,Thailand,53295601
Brazil,Chile,9907
Brazil,Colombia,773129
Brazil,France,8227
Brazil,Japan,124673
Brazil,Saudi Arabia,64741
Brazil,South Africa,153763
Canada,Brazil,344019962
Canada,Chile,106773387
Canada,Colombia,671086359
Canada,Cyprus,1410195
Canada,Czech Republic,35911427
Canada,Estonia,6427755
Canada,Hungary,15859229
Canada,India,3659444746
Canada,Korea,3865408
Canada,Kuwait,1568
Canada,Latvia,10030919
Canada,Lithuania,12308331
Canada,Poland,1307586093
Canada,Romania,44042357
Canada,Saudi Arabia,16166
Canada,Slovak Republic,14970632
Canada,Slovenia,25872980
Canada,South Africa,370099631
Canada,Thailand,836611055
Chile,Brazil,78376
Chile,Chile,108
Chile,Colombia,480945
Chile,United States,4920
Colombia,Chile,158059
Colombia,Colombia,11468
Colombia,Thailand,20249
Colombia,United States,1019
Cyprus,India,5599
Czech Republic,Brazil,19072
Czech Republic,Chile,928893
Czech Republic,Colombia,132556
Czech Republic,Estonia,43746
Czech Republic,India,2056065
Czech Republic,Latvia,181792
Czech Republic,Lithuania,849451
Czech Republic,Romania,4506558
Czech Republic,Slovak Republic,32178
Czech Republic,South Africa,25016
Czech Republic,Thailand,155108
Denmark,Brazil,3184580
Denmark,Chile,33407149
Denmark,Colombia,3146117
Denmark,India,2004368952
Denmark,South Africa,411760384
Denmark,Thailand,489489466
Denmark,United Arab Emirates,7059757
Estonia,Czech Republic,94211
Estonia,India,138257
Estonia,Poland,46474
Finland,Brazil,25810862
Finland,Chile,9423678
Finland,Colombia,23761728
Finland,Czech Republic,894384
Finland,Estonia,41612196
Finland,Hungary,12089983
Finland,India,182512666
Finland,Latvia,19882388
Finland,Lithuania,12493168
Finland,Poland,12233233
Finland,Romania,26671
Finland,Saudi Arabia,38710
Finland,Slovak Republic,181612
Finland,South Africa,198796278
Finland,Thailand,126195858
France,Brazil,3297628513
France,Chile,423553789
France,Colombia,1680107102
France,Cyprus,59146756
France,Czech Republic,97980891
France,Estonia,13028164
France,Hungary,172396140
France,India,4139074370
France,Korea,148847642
France,Kuwait,21944819
France,Latvia,12878608
France,Lithuania,28369474
France,Poland,2005432347
France,Qatar,7132589
France,Romania,241984953
France,Saudi Arabia,43705887
France,Slovak Republic,49945982
France,Slovenia,12821097
France,South Africa,1901701859
France,Taiwan,38133611
France,Thailand,1049660923
France,United Arab Emirates,10984119
Germany,Brazil,4063216247
Germany,Chile,1365472828
Germany,Colombia,1238911524
Germany,Cyprus,112651716
Germany,Czech Republic,88260457
Germany,Estonia,18124997
Germany,Hungary,105587476
Germany,India,18017983208
Germany,Korea,691327750
Germany,Kuwait,5859569
Germany,Latvia,28041049
Germany,Lithuania,46788768
Germany,Poland,17230746024
Germany,Qatar,432959
Germany,Romania,222430428
Germany,Saudi Arabia,14096654
Germany,Slovak Republic,47343284
Germany,Slovenia,109892941
Germany,South Africa,1784147995
Germany,Taiwan,53175422
Germany,Thailand,1702275036
Germany,United Arab Emirates,271672489
Greece,Brazil,6017626
Greece,Chile,1245391
Greece,Colombia,508081
Greece,Cyprus,1154173
Greece,Czech Republic,226778
Greece,Estonia,53968
Greece,Hungary,54237
Greece,India,1400035
Greece,Korea,239451
Greece,Latvia,102967
Greece,Lithuania,34672
Greece,Poland,1739810
Greece,Romania,7699665
Greece,Saudi Arabia,831789
Greece,Slovak Republic,62166
Greece,Slovenia,412017
Greece,South Africa,9409990
Greece,Taiwan,24169
Greece,Thailand,1446161
Greece,United Arab Emirates,4039
Hungary,Canada,55468
Hungary,Romania,269084
Iceland,India,20458
Iceland,South Africa,152043
Ireland,Brazil,17590489
Ireland,Chile,2159916
Ireland,Colombia,19468675
Ireland,Hungary,60706
Ireland,India,58328825
Ireland,Korea,205868
Ireland,Latvia,15001
Ireland,Romania,335098
Ireland,Slovak Republic,13999
Ireland,South Africa,192651212
Ireland,Thailand,4314669
Italy,Brazil,1843859410
Italy,Chile,169818458
Italy,Colombia,306112843
Italy,Cyprus,13345573
Italy,Czech Republic,6202973
Italy,Estonia,565804
Italy,Hungary,8524063
Italy,India,1237117872
Italy,Korea,7324360
Italy,Kuwait,327910
Italy,Latvia,1255166
Italy,Lithuania,3400359
Italy,Poland,57102621
Italy,Romania,25578574
Italy,Saudi Arabia,277701
Italy,Slovak Republic,6619735
Italy,Slovenia,6608256
Italy,South Africa,106916806
Italy,Taiwan,5324
Italy,Thailand,34627069
Italy,United Arab Emirates,65097
Japan,Brazil,10406029105
Japan,Chile,703444054
Japan,Colombia,1414487282
Japan,Cyprus,27266
Japan,Czech Republic,543758147
Japan,Estonia,33732683
Japan,Hungary,680145878
Japan,India,48830067295
Japan,Korea,13029452754
Japan,Kuwait,4397148
Japan,Latvia,51083689
Japan,Lithuania,78826496
Japan,Poland,116688443
Japan,Qatar,3050875
Japan,Romania,801669787
Japan,Saudi Arabia,373261027
Japan,Slovak Republic,485216855
Japan,Slovenia,316243
Japan,South Africa,1176312073
Japan,Taiwan,5349281
Japan,Thailand,35437690727
Japan,United Arab Emirates,7247064
Korea,Brazil,204472350
Korea,Chile,43598915
Korea,Colombia,85662550
Korea,India,838979022
Korea,Saudi Arabia,167923
Korea,South Africa,20345015
Korea,Thailand,105821945
Kuwait,Cyprus,192431763
Kuwait,India,893157410
Kuwait,Lithuania,21381183
Kuwait,Slovak Republic,1219994
Kuwait,Thailand,260887969
Liechtenstein,Austria,358894
Liechtenstein,Colombia,175954
Liechtenstein,Czech Republic,342761
Liechtenstein,Estonia,7689
Liechtenstein,Finland,73670
Liechtenstein,Germany,60164
Liechtenstein,Hungary,493120
Liechtenstein,India,288892
Liechtenstein,Italy,791968
Liechtenstein,Latvia,14990
Liechtenstein,Liechtenstein,128713
Liechtenstein,Lithuania,58202
Liechtenstein,Poland,466742
Liechtenstein,Romania,726817
Liechtenstein,Slovak Republic,33776
Liechtenstein,Slovenia,10404
Liechtenstein,Switzerland,326783
Liechtenstein,Thailand,11161
Luxembourg,Brazil,23531630
Luxembourg,Chile,5065189
Luxembourg,Colombia,20308798
Luxembourg,Czech Republic,1222185
Luxembourg,India,36638705
Luxembourg,Romania,133449
Luxembourg,Slovak Republic,505732
Luxembourg,South Africa,18699146
Luxembourg,Thailand,5449188
Monaco,Portugal,113058
Monaco,Slovenia,285519
Monaco,South Africa,542810
Netherlands,Brazil,87040487
Netherlands,Chile,127976174
Netherlands,Colombia,642223602
Netherlands,Cyprus,2179629
Netherlands,Czech Republic,13571361
Netherlands,Estonia,7298608
Netherlands,Hungary,17119328
Netherlands,India,6977708986
Netherlands,Korea,491792
Netherlands,Kuwait,60454
Netherlands,Latvia,9186060
Netherlands,Lithuania,11528962
Netherlands,Poland,14269465
Netherlands,Romania,35291746
Netherlands,Saudi Arabia,227521
Netherlands,Slovak Republic,19544856
Netherlands,Slovenia,3407449
Netherlands,South Africa,840526986
Netherlands,Thailand,129993723
New Zealand,Brazil,3055532
New Zealand,Chile,7827589
New Zealand,Colombia,1371917
New Zealand,India,17973296
New Zealand,Kuwait,153669
New Zealand,South Africa,18156298
New Zealand,Thailand,8211584
Norway,Brazil,1070847764
Norway,Chile,56575551
Norway,Colombia,299650983
Norway,Cyprus,1246375
Norway,Czech Republic,582639
Norway,Estonia,1561615
Norway,Hungary,624435
Norway,India,2147933250
Norway,Latvia,2040225
Norway,Lithuania,2461052
Norway,Poland,2504790
Norway,Romania,3776773
Norway,Saudi Arabia,195375
Norway,Slovak Republic,653165
Norway,Slovenia,226588
Norway,South Africa,689555304
Norway,Thailand,136378534
Poland,Brazil,69369
Poland,Colombia,29314
Poland,India,130823
Poland,South Africa,122835
Poland,Thailand,50843
Portugal,Brazil,47190338
Portugal,Chile,1146453
Portugal,Colombia,425831
Portugal,Cyprus,519768
Portugal,Czech Republic,558965
Portugal,Estonia,13279
Portugal,Hungary,596536
Portugal,India,6806655
Portugal,Korea,338091
Portugal,Latvia,2592
Portugal,Poland,1243350
Portugal,Romania,607604
Portugal,Saudi Arabia,387
Portugal,Slovak Republic,20705
Portugal,Slovenia,30752
Portugal,South Africa,8178120
Portugal,Thailand,1221440
Qatar,United States,104519053
Saudi Arabia,Brazil,191647004
Saudi Arabia,India,759651342
Saudi Arabia,Korea,134511154
Saudi Arabia,Taiwan,456120873
Saudi Arabia,Thailand,156480316
Slovak Republic,Brazil,14669
Slovak Republic,Chile,2296
Slovak Republic,Hungary,14132
Slovak Republic,India,332552
Slovak Republic,Taiwan,14202
Slovak Republic,Thailand,17723
Slovenia,Colombia,112880
Slovenia,India,15983
Slovenia,South Africa,21165
Spain,Brazil,312007477
Spain,Chile,211911806
Spain,Colombia,1066811913
Spain,Cyprus,229892
Spain,Czech Republic,2745328
Spain,Estonia,526284
Spain,Hungary,3854725
Spain,India,271820536
Spain,Korea,685941
Spain,Kuwait,20232
Spain,Latvia,422270
Spain,Lithuania,598482
Spain,Poland,88269401
Spain,Romania,24248203
Spain,Saudi Arabia,14214
Spain,Slovak Republic,3213545
Spain,Slovenia,707340
Spain,South Africa,19495582
Spain,Taiwan,5937
Spain,Thailand,7072193
Spain,United Arab Emirates,34603
Sweden,Brazil,26653699
Sweden,Chile,177465428
Sweden,Colombia,309592487
Sweden,Czech Republic,1935937
Sweden,Estonia,69832972
Sweden,Hungary,2969663
Sweden,India,3827796549
Sweden,Kuwait,11228374
Sweden,Latvia,121664819
Sweden,Lithuania,104563110
Sweden,Poland,94176270
Sweden,Romania,10079723
Sweden,Slovak Republic,1500392
Sweden,Slovenia,3979854
Sweden,South Africa,1416545325
Sweden,Taiwan,8633
Sweden,Thailand,184052641
Switzerland,Brazil,95419283
Switzerland,Chile,87963745
Switzerland,Colombia,291509810
Switzerland,Cyprus,6611736
Switzerland,Czech Republic,13572863
Switzerland,Estonia,337871
Switzerland,Hungary,2322402
Switzerland,India,1839499003
Switzerland,Korea,249214
Switzerland,Latvia,3969759
Switzerland,Lithuania,191394
Switzerland,Poland,3141751
Switzerland,Romania,73441265
Switzerland,Slovak Republic,8348274
Switzerland,Slovenia,371519
Switzerland,South Africa,273016890
Switzerland,Taiwan,1091413
Switzerland,Thailand,143029761
Taiwan,India,5941100
Taiwan,Poland,30163151
Taiwan,Saudi Arabia,2004365
Taiwan,South Africa,45628882
Thailand,Cyprus,4469
Thailand,South Africa,20992
United Arab Emirates,Brazil,201889
United Arab Emirates,Chile,77208
United Arab Emirates,Colombia,330974
United Arab Emirates,India,65489369
United Arab Emirates,South Africa,1229361
United Arab Emirates,Thailand,308185
United Kingdom,Brazil,713312502
United Kingdom,Chile,29636288
United Kingdom,Colombia,215435718
United Kingdom,Cyprus,13166610
United Kingdom,Czech Republic,45582006
United Kingdom,Estonia,3937712
United Kingdom,Hungary,71021427
United Kingdom,India,19921976117
United Kingdom,Korea,3243556
United Kingdom,Latvia,4937529
United Kingdom,Lithuania,5670274
United Kingdom,Poland,209349961
United Kingdom,Romania,109722333
United Kingdom,Saudi Arabia,671150
United Kingdom,Slovak Republic,41318600
United Kingdom,Slovenia,5171801
United Kingdom,South Africa,1862114265
United Kingdom,Taiwan,64426
United Kingdom,Thailand,434207101
United States,Australia,2572618261
United States,Austria,769908525
